Total: 364
Published: 0
Pending: 0
Other statuses: 364

Other statuses:
  Semana 27, Dia 1, status: aprovado, id: 244111ee-b941-4e11-811a-d2972f259956
  Semana 25, Dia 2, status: aprovado, id: 71362af0-d8c7-476e-a987-fc0a944c9d7d
  Semana 27, Dia 2, status: aprovado, id: a76f8b2c-ab31-441b-b801-e602904b3939
  Semana 25, Dia 3, status: aprovado, id: dad80ec8-cac6-4f72-bfe7-a4c71fe2da2a
  Semana 25, Dia 4, status: aprovado, id: 790e097e-455e-4323-9cb4-b1f7f6559093
  Semana 25, Dia 5, status: aprovado, id: 6747c12f-2f9c-4e8d-97cf-f68d6f679b50
  Semana 27, Dia 5, status: aprovado, id: 3d581f53-99df-498e-be38-795192ba7a49
  Semana 35, Dia 2, status: aprovado, id: 46a9e569-d90a-40bc-8e5e-2e0b5a89ef91
  Semana 46, Dia 3, status: aprovado, id: 685c2459-d861-42cc-ab8c-311fa01d3956
  Semana 32, Dia 4, status: aprovado, id: 3ce7b528-e078-404f-af4a-fd6955b5d177
  Semana 29, Dia 5, status: aprovado, id: d828f43b-8968-470e-80b5-5f5bfd453e1e
  Semana 32, Dia 6, status: aprovado, id: 9ebb0a64-733c-4c73-97c4-062dd7134a19
  Semana 30, Dia 1, status: aprovado, id: 27d467d5-bd82-48f2-8497-1b23ef7ba7cd
  Semana 30, Dia 3, status: aprovado, id: 23895754-6760-4fa9-bfab-a651732214da
  Semana 31, Dia 1, status: aprovado, id: f43dd84f-1a77-46ab-ab55-49aecc604515
  Semana 32, Dia 7, status: aprovado, id: ba57a741-a6db-48da-9900-5c75e8ec1f8d
  Semana 30, Dia 4, status: aprovado, id: abde9245-4a9e-42e1-a413-326c4dc8f37e
  Semana 31, Dia 5, status: aprovado, id: 7f6235fe-0342-47a8-9d39-a6ed8a171f07
  Semana 33, Dia 1, status: aprovado, id: a7d9ab60-6bd9-4085-a09c-d0f5885854ad
  Semana 30, Dia 5, status: aprovado, id: 19620bea-8135-4ea9-94a1-5fa58d532fe1
  Semana 29, Dia 3, status: aprovado, id: c5f22e96-d357-4631-bc89-1b19657a6d2d
  Semana 30, Dia 6, status: aprovado, id: bcc7b456-b717-473f-8cf3-1f4dfddb12a0
  Semana 33, Dia 2, status: aprovado, id: 4f0533b5-aab3-48ba-be34-86e72166cc6c
  Semana 32, Dia 5, status: aprovado, id: 1b18ed88-c614-4216-8ad8-7632e192e5d4
  Semana 29, Dia 4, status: aprovado, id: c49598c9-d25f-4689-88c0-8fec61810295
  Semana 30, Dia 7, status: aprovado, id: e3f3fc1f-813c-421f-8338-5b711f3fe051
  Semana 33, Dia 3, status: aprovado, id: 3b5a499d-c4d6-40a7-9f5c-6cc745f68650
  Semana 33, Dia 7, status: aprovado, id: 5e9c19f3-f323-44fc-9d8b-4a679628e1fd
  Semana 33, Dia 4, status: aprovado, id: ef5b3d67-ffed-4810-89a3-35d2fa26edb9
